Filename,ID,Species_Name,Type,Species,Depth,Polyp_diameter,Volume ,Surface_Area ,Volume_SA,SA_polyp2,Perimeter_D,Surface_D,RP_length,perimeter_length_3D,P_polyp_3D,RP_SA,P_SA_3D,L,W,N,Area
CSA017_calibrated_cropped.stl-dataC-new.dat,CSA017,Orbicella faveolata,Mound,1,32,0.1622,301394.7,17491.3,17.23112061,664844.9723,1.001850376,1.940993389,204.85,268.25,1653.822441,0.011711537,0.015336196,45.33708723,42.12662869,12.53628407,WEST
CSA025_cropped_calibrated.stl-dataC-new.dat,CSA025,Diploria labyrinthiformis ,Mound,2,32,0.498,548257.4,13073.8,41.93558109,52716.08522,1.000112307,2.130209739,62.741,88.8,178.313253,0.004798987,0.00679221,19.73002454,76.95664031,3.313335151,WEST
CSA031_cropped_calibrated.stl-dataC-new.dat,CSA031,Orbicella faveolata,Mound,1,32,0.2178,119467.1,5074,23.54495467,106963.28,0.996,2.033787081,89.409,94.05,431.8181818,0.017621009,0.018535672,86.00363999,0.904127282,13.09223272,WEST
CSA035_SA.stl,CSA035,Agaricia agaricites,Plate,8,32,0.452,748.22,824.7,0.907263247,4036.631686,0.989165026,2.082080532,38.39,NA,NA,0.046550261,NA,89.48315912,8.417537747,2.099303136,WEST
CSA142_per_cropped.stl-dataC-new.dat,CSA142,Acropora palmata,Tree,3,13,0.1342,367169.7,305266.2,1.202785307,16950155.58,0.988,2.059126324,304.53,553,4120.71535,0.000997588,0.001811534,39.20948947,57.23613683,3.554373703,EAST
CSA147_2_cropped.stl-dataC-new.dat,CSA147_2,Orbicella faveolata,Mound,1,32,0.3966,874767.5,20736.3,42.18532236,131833.5199,0.977,2.030304206,117.92,187.156,471.9011599,0.005686646,0.009025525,71.6499906,21.32726171,7.022747687,EAST
CSA150_cropped_calibrated.stl-dataC-new.dat,CSA150,Orbicella faveolata,Mound,1,32,0.2778,605146.1,18553,32.61715626,240408.4131,0.996,2.064733385,95.048,150.5,541.7566595,0.005123053,0.008111896,46.26742978,42.1664883,11.56608193,EAST
CSA195_cropped.stl-dataC-new.dat,CSA195,Siderastrea siderea,Mound,4,32,0.2426,773055.8,19903.1,38.84097452,338173.1571,1.000845441,2.003708091,167.31,269.95,1112.737016,0.008406228,0.013563214,100,0,0,MIDDLE
CUR1_calibrated.stl-dataC-new.dat,CUR1,Pseudodiploria strigosa,Mound,5,30,0.377,70749.4,4654.6,15.19988828,32749.12228,1,1.993259733,62.91,95.6,253.5809019,0.013515662,0.020538822,91.63420804,2.444937459,5.920854498,MIDDLE
CUR1_2_calibrated.stl-dataC-new.dat,CUR1_2,Pseudodiploria strigosa,Mound,5,30,0.542,4815.9,1569,3.069407266,5341.022045,1.009091447,1.995434611,67.531,182.5,336.7158672,0.04304079,0.116316125,84.53744493,10.6681351,4.794419971,MIDDLE
CUR10_2_cropped_calibrated.stl-dataC-new.dat,CUR10,Orbicella faveolata,Mound,1,25,0.27,3660.2,1205,3.037510373,16529.49246,1.001409514,2.083111678,78.875,95.5,353.7037037,0.065456432,0.079253112,49.16389484,36.65193421,14.18417096,EAST
CUR11_cropped_calibrated.stl-dataC-new.dat,CUR11,Orbicella faveolata,Mound,1,50,0.2708,49886999.4,404230.6,123.4122291,5512287.571,0.99,2.014468234,606.94,1259,4649.187592,0.00150147,0.003114559,34.281085,57.61126785,8.107647155,EAST
CUR13-1_cropped_calibrated.stl-dataC-new.dat,CUR13,Orbicella faveolata,Mound,1,25,0.2134,35435083.4,278894.5,127.0555117,6124224.74,1.004368058,2.076747686,579.08,597,2797.563261,0.002076341,0.002140594,26.82465337,61.20785384,11.96749279,MIDDLE
CUR20_1calibrated.stl-dataC-new.dat,CUR20_1,Diploria labyrinthiformis ,Mound,2,30,0.378,915.1,393,2.328498728,2750.482909,1.005947769,2.050547109,41.416,161.8,428.042328,0.105384224,0.411704835,83.02782172,15.00883968,1.963338606,MIDDLE
CUR22_calibrated.stl-dataC-new.dat,CUR22,Montastraea cavernosa,Mound,6,30,0.998,5362.7,1605,3.341246106,1611.439311,0.999,1.994066862,88.678,126.05,126.3026052,0.05525109,0.078535826,52.03114965,42.34906872,5.619781631,MIDDLE
CUR23calibrated.stl-dataC-new.dat,CUR23,Colpophyllia natans,Mound,7,60,0.69,204874.4,19198,10.6716533,40323.46146,0.994,2.010793942,399.8,755.5,1094.927536,0.020825086,0.039353058,18.67622867,80.32916133,0.994610002,MIDDLE
